"FilePath","Line","Code","Cat","Confirmed"
"lib\pages\me\settings_page.dart","458","color: isDark ? Colors.grey[500] : Colors.grey[600]),","C4","False"
"lib\pages\me\settings_page.dart","460","fillColor: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\settings_page.dart","469","style: TextStyle(color: isDark ? Colors.white : Colors.black),","C4","False"
"lib\pages\me\settings_page.dart","473","color: isDark ? Colors.grey[400] : Colors.grey[700]),","C4","False"
"lib\pages\me\settings_page.dart","476","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","480","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","483","borderSide: BorderSide(color: const Color(0xFFFF5A7E)),","C1","False"
"lib\pages\me\settings_page.dart","486","fillColor: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\settings_page.dart","495","color: isDark ? Colors.grey[400] : Colors.grey[600])),","C4","False"
"lib\pages\me\settings_page.dart","497","dropdownColor: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\settings_page.dart","498","style: TextStyle(color: isDark ? Colors.white : Colors.black),","C4","False"
"lib\pages\me\settings_page.dart","502","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","506","color: isDark ? Colors.grey[400] : Colors.grey[700]),","C4","False"
"lib\pages\me\settings_page.dart","508","fillColor: isDark ? const Color(0xFF1A1A1A) : Colors.white,","C4","False"
"lib\pages\me\settings_page.dart","511","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","519","color: isDark ? Colors.white : Colors.black)),","C4","False"
"lib\pages\me\settings_page.dart","529","style: TextStyle(color: isDark ? Colors.white : Colors.black),","C4","False"
"lib\pages\me\settings_page.dart","533","color: isDark ? Colors.grey[400] : Colors.grey[700]),","C4","False"
"lib\pages\me\settings_page.dart","536","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","540","color: isDark ? Colors.grey[700]! : Colors.grey[400]!),","C4","False"
"lib\pages\me\settings_page.dart","543","borderSide: BorderSide(color: const Color(0xFFFF5A7E)),","C1","False"
"lib\pages\me\settings_page.dart","547","color: isDark ? Colors.grey[500] : Colors.grey[600]),","C4","False"
